================================================================================
Ciąg liczb przypisanych do kwadratu (voxela) o położeniu (0,0,0)
================================================================================

Znaleziono 3,302 trójek (0,0,0) w ciągu π

Format: [pozycja_trójki] wartość_3-cyfrowa | kontekst_przed ... (0,0,0) ... kontekst_po
[ 148,055] 000 | ...58268 (0,0,0) 63517...
[ 148,373] 000 | ...84184 (0,0,0) 29367...
[ 149,819] 000 | ...73405 (0,0,0) 72199...
[ 150,497] 000 | ...52088 (0,0,0) 31824...
[ 150,554] 000 | ...61908 (0,0,0) 59109...
[ 151,814] 000 | ...81709 (0,0,0) 11063...
[ 155,733] 000 | ...96320 (0,0,0) 60679...
[ 155,752] 000 | ...80916 (0,0,0) 68141...
[ 155,802] 000 | ...24522 (0,0,0) 44042...
[ 157,393] 000 | ...31425 (0,0,0) 52922...
[ 160,366] 000 | ...04645 (0,0,0) 57389...
[ 166,047] 000 | ...72689 (0,0,0) 94820...
[ 166,167] 000 | ...62898 (0,0,0) 60848...
[ 166,946] 000 | ...58511 (0,0,0) 18088...
[ 168,160] 000 | ...97185 (0,0,0) 94287...
[ 168,635] 000 | ...41203 (0,0,0) 22706...
[ 168,716] 000 | ...58182 (0,0,0) 84648...
[ 169,939] 000 | ...10079 (0,0,0) 54725...
[ 171,353] 000 | ...08475 (0,0,0) 24799...
[ 171,872] 000 | ...25328 (0,0,0) 03740...
[ 173,884] 000 | ...12103 (0,0,0) 46219...
[ 174,858] 000 | ...51598 (0,0,0) 74053...
[ 176,448] 000 | ...03573 (0,0,0) 16591...
[ 176,763] 000 | ...93430 (0,0,0) 28544...
[ 177,120] 000 | ...94392 (0,0,0) 99676...
[ 177,926] 000 | ...13449 (0,0,0) 38752...
[ 178,469] 000 | ...26014 (0,0,0) 72598...
[ 178,691] 000 | ...89264 (0,0,0) 82160...
[ 180,002] 000 | ...57440 (0,0,0) 51885...
[ 180,273] 000 | ...67009 (0,0,0) 36239...
[ 182,654] 000 | ...22833 (0,0,0) 19434...
[ 189,918] 000 | ...71805 (0,0,0) 56058...
[ 190,139] 000 | ...57211 (0,0,0) 47780...
[ 191,169] 000 | ...12910 (0,0,0) 17803...
[ 192,130] 000 | ...90847 (0,0,0) 11181...
[ 194,855] 000 | ...13461 (0,0,0) 18927...
[ 195,881] 000 | ...16616 (0,0,0) 36343...
[ 197,299] 000 | ...26360 (0,0,0) 73624...
[ 197,323] 000 | ...96127 (0,0,0) 89296...
[ 198,870] 000 | ...80956 (0,0,0) 28747...
[ 198,886] 000 | ...04298 (0,0,0) 83484...
[ 200,131] 000 | ...11457 (0,0,0) 35734...
[ 201,655] 000 | ...05011 (0,0,0) 15239...
[ 203,466] 000 | ...31506 (0,0,0) 12302...
[ 204,015] 000 | ...40724 (0,0,0) 72802...
[ 205,203] 000 | ...13963 (0,0,0) 63769...

--- 200 / 3,302 ---

[ 206,396] 000 | ...39734 (0,0,0) 32241...
[ 206,643] 000 | ...61317 (0,0,0) 22763...
[ 206,716] 000 | ...97788 (0,0,0) 08521...
[ 206,912] 000 | ...21763 (0,0,0) 46622...
[ 206,976] 000 | ...08994 (0,0,0) 76450...
[ 210,578] 000 | ...09056 (0,0,0) 28233...
[ 211,556] 000 | ...58087 (0,0,0) 25982...
[ 212,553] 000 | ...93131 (0,0,0) 68193...
[ 213,214] 000 | ...08391 (0,0,0) 12713...
[ 216,092] 000 | ...75324 (0,0,0) 77625...
[ 217,372] 000 | ...86600 (0,0,0) 64868...
[ 219,203] 000 | ...61251 (0,0,0) 43073...
[ 219,235] 000 | ...77265 (0,0,0) 06474...
[ 219,338] 000 | ...06923 (0,0,0) 27584...
[ 219,829] 000 | ...18323 (0,0,0) 96579...
[ 220,477] 000 | ...45047 (0,0,0) 45389...
[ 221,994] 000 | ...38741 (0,0,0) 72252...
[ 222,147] 000 | ...33269 (0,0,0) 52195...
[ 223,044] 000 | ...81661 (0,0,0) 37622...
[ 224,737] 000 | ...36463 (0,0,0) 64241...
[ 224,859] 000 | ...11553 (0,0,0) 74663...
[ 224,908] 000 | ...92205 (0,0,0) 03871...
[ 225,948] 000 | ...58555 (0,0,0) 91332...
[ 226,332] 000 | ...35501 (0,0,0) 84517...
[ 228,274] 000 | ...86108 (0,0,0) 38893...
[ 229,580] 000 | ...31386 (0,0,0) 03846...
[ 229,822] 000 | ...52770 (0,0,0) 11912...
[ 231,027] 000 | ...22416 (0,0,0) 21449...
[ 231,500] 000 | ...56212 (0,0,0) 02729...
[ 231,566] 000 | ...07065 (0,0,0) 09320...
[ 232,866] 000 | ...22820 (0,0,0) 87549...
[ 233,470] 000 | ...92415 (0,0,0) 65621...
[ 236,031] 000 | ...81564 (0,0,0) 32252...
[ 236,050] 000 | ...20980 (0,0,0) 29093...
[ 236,074] 000 | ...66934 (0,0,0) 75149...
[ 236,390] 000 | ...50780 (0,0,0) 35989...
[ 238,204] 000 | ...42682 (0,0,0) 24230...
[ 241,545] 000 | ...96513 (0,0,0) 40615...
[ 243,079] 000 | ...11889 (0,0,0) 38683...
[ 243,989] 000 | ...17316 (0,0,0) 57043...
[ 245,744] 000 | ...64512 (0,0,0) 97805...
[ 246,926] 000 | ...06286 (0,0,0) 46503...
[ 248,394] 000 | ...81675 (0,0,0) 27852...
[ 249,557] 000 | ...62354 (0,0,0) 67920...
[ 249,587] 000 | ...54649 (0,0,0) 93712...
[ 250,029] 000 | ...62158 (0,0,0) 52959...
[ 250,776] 000 | ...10600 (0,0,0) 77579...
[ 251,417] 000 | ...03939 (0,0,0) 95497...
[ 252,068] 000 | ...36427 (0,0,0) 74547...
[ 252,256] 000 | ...27540 (0,0,0) 40402...
[ 253,417] 000 | ...87095 (0,0,0) 92027...
[ 253,514] 000 | ...23624 (0,0,0) 71391...
[ 253,592] 000 | ...95540 (0,0,0) 70385...
[ 254,129] 000 | ...34124 (0,0,0) 02769...
[ 254,341] 000 | ...92652 (0,0,0) 27521...
[ 254,931] 000 | ...59110 (0,0,0) 89599...
[ 255,264] 000 | ...83380 (0,0,0) 50557...
[ 258,351] 000 | ...04551 (0,0,0) 31972...
[ 259,097] 000 | ...57530 (0,0,0) 42491...
[ 260,520] 000 | ...84255 (0,0,0) 20316...
[ 262,714] 000 | ...49543 (0,0,0) 85072...
[ 262,800] 000 | ...55221 (0,0,0) 75233...
[ 264,602] 000 | ...78594 (0,0,0) 37811...
[ 265,540] 000 | ...73395 (0,0,0) 82390...
[ 265,914] 000 | ...79712 (0,0,0) 15234...
[ 266,337] 000 | ...18019 (0,0,0) 90993...
[ 266,410] 000 | ...40333 (0,0,0) 92303...
[ 266,430] 000 | ...44369 (0,0,0) 50778...
[ 267,182] 000 | ...74626 (0,0,0) 17284...
[ 267,300] 000 | ...79291 (0,0,0) 85634...
[ 270,276] 000 | ...48279 (0,0,0) 43809...
[ 270,720] 000 | ...19851 (0,0,0) 09105...
[ 272,068] 000 | ...07645 (0,0,0) 37734...
[ 272,294] 000 | ...55076 (0,0,0) 23458...
[ 272,616] 000 | ...81803 (0,0,0) 09713...
[ 273,843] 000 | ...77108 (0,0,0) 78072...
[ 274,594] 000 | ...12076 (0,0,0) 29377...
[ 276,135] 000 | ...83113 (0,0,0) 47904...
[ 276,991] 000 | ...74239 (0,0,0) 40751...
[ 278,304] 000 | ...68367 (0,0,0) 78786...
[ 278,431] 000 | ...97892 (0,0,0) 90672...
[ 279,040] 000 | ...12142 (0,0,0) 71674...
[ 280,519] 000 | ...53303 (0,0,0) 93049...
[ 280,879] 000 | ...43574 (0,0,0) 46918...
[ 281,671] 000 | ...00098 (0,0,0) 85298...
[ 282,879] 000 | ...67242 (0,0,0) 40934...
[ 285,081] 000 | ...19517 (0,0,0) 01658...
[ 285,252] 000 | ...78081 (0,0,0) 71612...
[ 285,274] 000 | ...57936 (0,0,0) 87862...
[ 286,614] 000 | ...66709 (0,0,0) 65711...
[ 286,984] 000 | ...81024 (0,0,0) 72695...
